query_id,doc_id,question,gold_answer_original,revised_gold_answer,evidence_page,evidence_anchor,evidence_text,status,evidence_correction,rationale
Q014,DOC03_CERDAS,Bagaimana status mismatch memengaruhi lama waktu mencari pekerjaan menurut ikhtisar publikasi?,"Status mismatch berpengaruh terhadap lama waktu mencari pekerjaan atau transisi kerja; pemuda overeducated cenderung lebih cepat kembali bekerja, sedangkan pemuda undereducated cenderung lebih lambat.","Status mismatch berpengaruh terhadap lama waktu mencari pekerjaan atau transisi kerja; pemuda overeducated cenderung lebih cepat kembali bekerja, sedangkan pemuda undereducated cenderung lebih lambat.",PDF page 7,Ikhtisar,7 IKHTISAR   ,VALID,,Semua angka (0/0) dan istilah kunci (14/14) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q015,DOC03_CERDAS,Faktor kompetensi tambahan apa yang disebut dapat mengurangi risiko mismatch?,"Publikasi menyebut penguasaan teknologi digital, kepemilikan sertifikasi keahlian, dan partisipasi dalam pelatihan relevan seperti Kartu Prakerja sebagai faktor yang dapat mengurangi risiko mismatch.","Publikasi menyebut penguasaan teknologi digital, kepemilikan sertifikasi keahlian, dan partisipasi dalam pelatihan relevan seperti Kartu Prakerja sebagai faktor yang dapat mengurangi risiko mismatch.",PDF page 7,Ikhtisar,7 IKHTISAR   ,VALID,,Semua angka (0/0) dan istilah kunci (15/16) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q016,DOC04_IUV,Apa sifat publikasi Indeks Unit Value Ekspor-Impor Agustus 2025 menurut kata pengantar?,Publikasi Indeks Unit Value Ekspor-Impor Agustus 2025 merupakan produk komplemen penyusunan statistik ekspor dan impor yang dirilis rutin setiap bulan oleh BPS.,Publikasi Indeks Unit Value Ekspor-Impor Agustus 2025 merupakan produk komplemen penyusunan statistik ekspor dan impor yang dirilis rutin setiap bulan oleh BPS.,PDF page 7,Kata Pengantar,"menurut ekspor-impor total, kelompok migas, dan kelompok nonmigas untuk  periode Agustus 2024 hingga Agustus 2025. Apresiasi kami sampaikan kepada semua pihak yang telah terlibat dalam  penyusunan publikasi ini, utamanya penyedia data yang secara berkelanjutan",VALID,,Semua angka (1/1) dan istilah kunci (9/9) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q017,DOC04_IUV,Tahun dasar apa yang digunakan dalam penghitungan Indeks Unit Value Ekspor-Impor?,Penghitungan indeks dalam publikasi ini menggunakan tahun dasar 2023.,Penghitungan indeks dalam publikasi ini menggunakan tahun dasar 2023.,PDF page 7,Kata Pengantar,product) penyusunan statistik ekspor dan impor yang dihitung menggunakan tahun  dasar 2023.  Data utama yang disajikan dalam publikasi ini meliputi indeks harga ekspor  dan impor dengan pendekatan unit value yang merupakan proksi dari harga,VALID,,Semua angka (1/1) dan istilah kunci (3/3) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q018,DOC04_IUV,Data utama apa yang disajikan dalam publikasi Indeks Unit Value Ekspor-Impor?,Data utama yang disajikan adalah indeks harga ekspor dan impor dengan pendekatan unit value sebagai proksi harga ekspor dan impor barang.,Data utama yang disajikan adalah indeks harga ekspor dan impor dengan pendekatan unit value sebagai proksi harga ekspor dan impor barang.,PDF page 7,Kata Pengantar,"Kata Pengantar Dengan penuh syukur dan rasa bangga, kami umumkan terbitnya publikasi  Indeks Unit Value Ekspor-Impor Agustus 2025 yang dirilis secara rutin setiap bulan",VALID,,Semua angka (0/0) dan istilah kunci (6/6) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q019,DOC04_IUV,Apa saja tahapan metodologi yang tercantum dalam daftar isi publikasi Indeks Unit Value Ekspor-Impor?,"Tahapan metodologi yang tercantum meliputi penentuan tahun dasar, pemilihan sampel komoditas, penghitungan unit value, dan penghitungan indeks HS 2 digit.","Tahapan metodologi yang tercantum meliputi penentuan tahun dasar, pemilihan sampel komoditas, penghitungan unit value, dan penghitungan indeks HS 2 digit.",PDF page 9,Daftar Isi,"vii Indeks Unit Value Ekspor-Impor, Agustus 2025 Volume 1, Nomor 8, 2025 https://www.bps.go.id",VALID,,Semua angka (1/1) dan istilah kunci (7/9) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
Q020,DOC04_IUV,"Tabel apa yang menyajikan Indeks Unit Value Impor Total, Migas, dan Nonmigas?","Indeks Unit Value Impor Total, Migas, dan Nonmigas disajikan pada Tabel 3.","Indeks Unit Value Impor Total, Migas, dan Nonmigas disajikan pada Tabel 3.",PDF page 11,Daftar Tabel,"Tabel 4  Indeks Unit Value Impor Menurut Kode HS 2 Digit (2023=100),  Agustus 2024–Agustus 2025 ……………………………………. 31",VALID,,Semua angka (1/1) dan istilah kunci (2/3) ditemukan di halaman PDF page 11. Gold answer konsisten dengan teks PDF.
Q021,DOC05_LNPRT,Apa periode data yang disajikan dalam publikasi Neraca LNPRT?,Publikasi Neraca LNPRT menyajikan rangkaian neraca terintegrasi untuk tahun 2022–2024.,Publikasi Neraca LNPRT menyajikan rangkaian neraca terintegrasi untuk tahun 2022–2024.,PDF page 7,Kata Pengantar,"serta neraca modal dan keuangan. Publikasi ini menyajikan rangkaian neraca LNPRT yang  terintegrasi tahun 2022–2024. Kami berharap berbagai informasi yang tersedia dapat  menjadi bahan perumusan kebijakan pemerintah, meningkatkan keterlibatan LNPRT  sebagai mitra pemerintah dalam meningkatkan standar hidup rumah tangga, serta",VALID,,Semua angka (2/2) dan istilah kunci (4/4) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q022,DOC05_LNPRT,Bagaimana peran LNPRT dalam perekonomian domestik menurut publikasi?,LNPRT dijelaskan sebagai salah satu pelaku ekonomi domestik dan mitra pemerintah dalam penyediaan barang dan jasa secara gratis atau sangat terjangkau bagi rumah tangga.,LNPRT dijelaskan sebagai salah satu pelaku ekonomi domestik dan mitra pemerintah dalam penyediaan barang dan jasa secara gratis atau sangat terjangkau bagi rumah tangga.,PDF page 7,Kata Pengantar,v  KATA PENGANTAR  Publikasi Neraca Lembaga Nonprofit yang Melayani Rumah Tangga (LNPRT)  Indonesia 2022–2024 merupakan publikasi lanjutan dari publikasi sebelumnya yang telah,VALID,,Semua angka (0/0) dan istilah kunci (10/11) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q023,DOC05_LNPRT,Neraca apa saja yang merekam aktivitas ekonomi LNPRT dalam publikasi ini?,"Aktivitas ekonomi LNPRT direkam dalam neraca produksi, neraca pendapatan dan pengeluaran, serta neraca modal dan keuangan.","Aktivitas ekonomi LNPRT direkam dalam neraca produksi, neraca pendapatan dan pengeluaran, serta neraca modal dan keuangan.",PDF page 7,Kata Pengantar,v  KATA PENGANTAR  Publikasi Neraca Lembaga Nonprofit yang Melayani Rumah Tangga (LNPRT)  Indonesia 2022–2024 merupakan publikasi lanjutan dari publikasi sebelumnya yang telah,VALID,,Semua angka (0/0) dan istilah kunci (8/8) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q024,DOC05_LNPRT,Apa saja subbagian utama pada Bab II Konsep dan Definisi dalam publikasi LNPRT?,"Bab II mencakup konsep LNPRT, klasifikasi LNPRT menurut COPNI, pelaku LNPRT di Indonesia, neraca LNPRT dalam Sistem Neraca Nasional Indonesia, dan kerangka neraca LNPRT.","Bab II mencakup konsep LNPRT, klasifikasi LNPRT menurut COPNI, pelaku LNPRT di Indonesia, neraca LNPRT dalam Sistem Neraca Nasional Indonesia, dan kerangka neraca LNPRT.",PDF page 9,Daftar Isi,vii DAFTAR ISI/CONTENTS  Neraca Lembaga Nonprofit yang Melayani Rumah Tangga (LNPRT) 2022—2024  Nonprofit Institutions Serving Households (NPISHs) Accounts 2022—2024,VALID,,Semua angka (0/0) dan istilah kunci (7/7) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
Q025,DOC05_LNPRT,Tabel apa saja yang disajikan pada bagian konsep dan definisi LNPRT?,"Bagian konsep dan definisi menyajikan Tabel 2.1 Neraca Produksi, Tabel 2.2 Neraca Penerimaan dan Pengeluaran, serta Tabel 2.3 Neraca Modal dan Finansial.","Bagian konsep dan definisi menyajikan Tabel 2.1 Neraca Produksi, Tabel 2.2 Neraca Penerimaan dan Pengeluaran, serta Tabel 2.3 Neraca Modal dan Finansial.",PDF page 11,Daftar Tabel,Tabel  2.3  Neraca Modal dan Finansial  Table,VALID,,Semua angka (3/3) dan istilah kunci (5/9) ditemukan di halaman PDF page 11. Gold answer konsisten dengan teks PDF.
Q026,DOC06_NPU,Apa cakupan publikasi Neraca Pemerintahan Umum Indonesia 2019–2024?,Publikasi ini menyajikan neraca-neraca Pemerintahan Umum menurut tingkat pusat dan daerah dari tahun 2019 sampai dengan 2024.,Publikasi ini menyajikan neraca-neraca Pemerintahan Umum menurut tingkat pusat dan daerah dari tahun 2019 sampai dengan 2024.,PDF page 7,Kata Pengantar,"central and regional administrative levels for  the period 2019 to 2024, which present six  sequences of accounts, i.e., Production  Account, Generation of Income Account,",VALID,"Heading 'Kata Pengantar' ditemukan di halaman 9, bukan halaman 7 — kemungkinan halaman konten dimulai setelah halaman judul bab.",Semua angka (2/2) dan istilah kunci (6/6) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q027,DOC06_NPU,Apa saja enam neraca Pemerintahan Umum yang disajikan dalam publikasi ini?,"Enam neraca yang disajikan adalah Neraca Produksi, Neraca Pendapatan yang Dihasilkan, Neraca Alokasi Pendapatan Primer, Neraca Distribusi Pendapatan Sekunder, Neraca Penggunaan Pendapatan Disposabel, dan Neraca Modal.","Enam neraca yang disajikan adalah Neraca Produksi, Neraca Pendapatan yang Dihasilkan, Neraca Alokasi Pendapatan Primer, Neraca Distribusi Pendapatan Sekunder, Neraca Penggunaan Pendapatan Disposabel, dan Neraca Modal.",PDF page 7,Kata Pengantar,"v              Publikasi  Neraca  Pemerintahan  Umum Indonesia 2019–2024 merupakan  publikasi yang menyajikan neraca-neraca  Pemerintahan Umum menurut tingkat Pusat  dan Daerah dari tahun 2019 sampai dengan  tahun 2024. Ada enam neraca Pemerintahan  Umum yang disajikan dalam publikasi ini,  yaitu Neraca Produksi, Neraca Pendapatan  yang Dihasilkan, Neraca Alokasi Pendapatan  Primer,  Neraca  Distr",VALID,"Heading 'Kata Pengantar' ditemukan di halaman 9, bukan halaman 7 — kemungkinan halaman konten dimulai setelah halaman judul bab.",Semua angka (0/0) dan istilah kunci (11/11) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q028,DOC06_NPU,Sejak publikasi tahun berapa penyusunan neraca pemerintahan umum mengacu pada SNA 2008?,Penyusunan neraca pemerintahan umum sudah mengacu pada System of National Accounts (SNA) 2008 sejak publikasi tahun 2016.,Penyusunan neraca pemerintahan umum sudah mengacu pada System of National Accounts (SNA) 2008 sejak publikasi tahun 2016.,PDF page 7,Kata Pengantar,to the System of National Accounts (SNA)  2008 as the United Nations Statistics Division  (UNSD)  recommendation.,VALID,"Heading 'Kata Pengantar' ditemukan di halaman 9, bukan halaman 7 — kemungkinan halaman konten dimulai setelah halaman judul bab.",Semua angka (2/2) dan istilah kunci (7/7) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q029,DOC06_NPU,Bagaimana status sebagian data dalam publikasi Neraca Pemerintahan Umum Indonesia 2019–2024?,Sebagian data yang dipublikasikan masih bersifat sementara dan akan direvisi ketika tersedia data terbaru pada publikasi berikutnya.,Sebagian data yang dipublikasikan masih bersifat sementara dan akan direvisi ketika tersedia data terbaru pada publikasi berikutnya.,PDF page 7,Kata Pengantar,"v              Publikasi  Neraca  Pemerintahan  Umum Indonesia 2019–2024 merupakan  publikasi yang menyajikan neraca-neraca  Pemerintahan Umum menurut tingkat Pusat  dan Daerah dari tahun 2019 sampai dengan  tahun 2024. Ada enam neraca Pemerintahan  Umum yang disajikan dalam publikasi ini,  yaitu Neraca Produksi, Neraca Pendapatan  yang Dihasilkan, Neraca Alokasi Pendapatan  Primer,  Neraca  Distr",VALID,"Heading 'Kata Pengantar' ditemukan di halaman 9, bukan halaman 7 — kemungkinan halaman konten dimulai setelah halaman judul bab.",Semua angka (0/0) dan istilah kunci (7/9) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q030,DOC06_NPU,Komponen apa saja yang dibahas dalam Bab 3 Analisis Deskriptif Neraca Pemerintahan Umum?,"Bab 3 membahas output pemerintah, kompensasi pegawai, pendapatan primer, pendapatan disposabel, pengeluaran konsumsi pemerintah, tabungan bruto, PMTB, dan pinjaman neto/net borrowing.","Bab 3 membahas output pemerintah, kompensasi pegawai, pendapatan primer, pendapatan disposabel, pengeluaran konsumsi pemerintah, tabungan bruto, PMTB, dan pinjaman neto/net borrowing.",PDF page 10,Daftar Isi,DAFTAR PUSTAKA/REFERENCES  ...........................................................................  83  LAMPIRAN/APPENDICES  .......................................................................................  87,VALID,,Semua angka (1/1) dan istilah kunci (12/13) ditemukan di halaman PDF page 10. Gold answer konsisten dengan teks PDF.
Q031,DOC07_NRT,Apa periode yang dicakup dalam publikasi Neraca Rumah Tangga Indonesia?,Publikasi Neraca Rumah Tangga Indonesia menyajikan aktivitas ekonomi rumah tangga selama periode 2022–2024.,Publikasi Neraca Rumah Tangga Indonesia menyajikan aktivitas ekonomi rumah tangga selama periode 2022–2024.,PDF page 7,Kata Pengantar,"Publikasi ini menyajikan gambaran menyeluruh mengenai aktivitas ekonomi rumah tangga selama  periode 2022–2024, khususnya terkait produksi, konsumsi, investasi, dan pendapatan. Diharapkan,  informasi yang tersedia dapat memberikan pemahaman lebih baik mengenai perilaku rumah tangga dalam  perekonomian Indonesia, sehingga dapat menjadi landasan dalam perumusan kebijakan berbasis data",VALID,,Semua angka (2/2) dan istilah kunci (7/7) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q032,DOC07_NRT,Bagaimana peran rumah tangga dalam perekonomian nasional menurut publikasi?,Rumah tangga berperan sebagai objek pembangunan sekaligus subjek aktif yang berkontribusi dalam menghasilkan barang dan jasa serta menyediakan faktor produksi berupa tenaga kerja dan modal usaha.,Rumah tangga berperan sebagai objek pembangunan sekaligus subjek aktif yang berkontribusi dalam menghasilkan barang dan jasa serta menyediakan faktor produksi berupa tenaga kerja dan modal usaha.,PDF page 7,Kata Pengantar,KATA PENGANTAR    Publikasi Neraca Rumah Tangga Indonesia Tahun 2022–2024 merupakan kelanjutan publikasi yang,VALID,,Semua angka (0/0) dan istilah kunci (12/12) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q033,DOC07_NRT,Indikator makro apa yang mencerminkan kesejahteraan rumah tangga dalam publikasi ini?,Kesejahteraan rumah tangga dicerminkan melalui indikator makro seperti pendapatan yang dapat dibelanjakan atau disposable income dan tabungan atau saving.,Kesejahteraan rumah tangga dicerminkan melalui indikator makro seperti pendapatan yang dapat dibelanjakan atau disposable income dan tabungan atau saving.,PDF page 7,Kata Pengantar,KATA PENGANTAR    Publikasi Neraca Rumah Tangga Indonesia Tahun 2022–2024 merupakan kelanjutan publikasi yang,VALID,,Semua angka (0/0) dan istilah kunci (10/11) ditemukan di halaman PDF page 7. Gold answer konsisten dengan teks PDF.
Q034,DOC07_NRT,Apa saja bagian utama pada Bab II publikasi Neraca Rumah Tangga Indonesia?,"Bab II mencakup neraca rumah tangga dalam Sistem Neraca Nasional, kerangka neraca rumah tangga, aturan neraca, konsep dan definisi, serta sumber data dan metodologi.","Bab II mencakup neraca rumah tangga dalam Sistem Neraca Nasional, kerangka neraca rumah tangga, aturan neraca, konsep dan definisi, serta sumber data dan metodologi.",PDF page 9,Daftar Isi,v  DAFTAR ISI/CONTENTS ...................................................................................................................  vii  DAFTAR TABEL/LIST OF TABLES ......................................................................................................,VALID,,Semua angka (0/0) dan istilah kunci (10/10) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
Q035,DOC07_NRT,Tabel berapa yang menyajikan Neraca Kapital Rumah Tangga tahun 2022–2024?,Neraca Kapital Rumah Tangga tahun 2022–2024 disajikan pada Tabel 3.7.,Neraca Kapital Rumah Tangga tahun 2022–2024 disajikan pada Tabel 3.7.,PDF page 12,Daftar Tabel,"Table  Household Secondary Distribution of Income Account (trillion rupiah), 2022–2024  ......  54",VALID,,Semua angka (3/3) dan istilah kunci (3/4) ditemukan di halaman PDF page 12. Gold answer konsisten dengan teks PDF.
Q036,DOC08_PEND,Mengapa data pendidikan yang akurat dianggap penting dalam Ringkasan Statistik Pendidikan 2025?,Data pendidikan yang akurat dianggap penting untuk merancang kebijakan yang tepat dan mendukung pembangunan pendidikan yang inklusif serta berkelanjutan.,Data pendidikan yang akurat dianggap penting untuk merancang kebijakan yang tepat dan mendukung pembangunan pendidikan yang inklusif serta berkelanjutan.,PDF page 9,Ringkasan,vii  RINGKASAN  Pemerintah Indonesia terus berupaya meningkatkan kualitas dan akses  pendidikan melalui berbagai kebijakan. Tujuannya adalah menciptakan sistem,VALID,,Semua angka (0/0) dan istilah kunci (9/10) ditemukan di halaman PDF page 9. Gold answer konsisten dengan teks PDF.
